,community_kw,pm25,temp,rhum,wspd,pres,prcp
2013-03-09 14:30:00,2091.6365217569787,29.8,6.0,90.0,11.2,1002.9,
2013-03-09 14:45:00,1874.899871996997,28.3,6.0,88.5,11.2,1003.0,
2013-03-09 15:00:00,2040.1221049871888,26.8,6.0,87.0,11.2,1003.1,
2013-03-09 15:15:00,2968.218262270565,25.975,6.0,87.0,11.2,1003.15,
2013-03-09 15:30:00,2166.366686983436,25.15,6.0,87.0,11.2,1003.2,
2013-03-09 15:45:00,2436.1603905088923,24.325,6.0,87.0,11.2,1003.25,
2013-03-09 16:00:00,1748.9057685961968,23.5,6.0,87.0,11.2,1003.3,
2013-03-09 16:15:00,1963.6082161833788,22.975,6.0,87.0,11.65,1003.325,
2013-03-09 16:30:00,1221.174191661239,22.45,6.0,87.0,12.1,1003.35,
2013-03-09 16:45:00,1201.7622007085497,21.925,6.0,87.0,12.55,1003.375,
2013-03-09 17:00:00,1189.8906410338911,21.4,6.0,87.0,13.0,1003.4,
2013-03-09 17:15:00,968.29583467042,20.225,6.0,87.0,12.1,1003.475,
2013-03-09 17:30:00,1569.9146038683018,19.05,6.0,87.0,11.2,1003.55,
2013-03-09 17:45:00,1435.3283270472227,17.875,6.0,87.0,10.3,1003.625,
2013-03-09 18:00:00,2010.485069176245,16.7,6.0,87.0,9.4,1003.7,
2013-03-09 18:15:00,1433.9366895437415,16.925,5.75,87.0,9.85,1003.875,
2013-03-09 18:30:00,1667.3374100094911,17.15,5.5,87.0,10.3,1004.05,
2013-03-09 18:45:00,1614.2173600585809,17.375,5.25,87.0,10.75,1004.225,
2013-03-09 19:00:00,1682.7167250489238,17.6,5.0,87.0,11.2,1004.4,
2013-03-09 19:15:00,1470.6330268824772,19.325000000000003,5.0,87.0,10.75,1004.45,
2013-03-09 19:30:00,1430.373661139456,21.05,5.0,87.0,10.3,1004.5,
2013-03-09 19:45:00,1197.9758804398473,22.775,5.0,87.0,9.85,1004.55,
2013-03-09 20:00:00,2608.798403602722,24.5,5.0,87.0,9.4,1004.6,
2013-03-09 20:15:00,3997.937478918919,23.0,4.75,87.0,9.4,1004.65,
2013-03-09 20:30:00,1887.4728624015152,21.5,4.5,87.0,9.4,1004.7,
2013-03-09 20:45:00,3811.845731081912,20.0,4.25,87.0,9.4,1004.75,
2013-03-09 21:00:00,2701.704415299228,18.5,4.0,87.0,9.4,1004.8,
2013-03-09 21:15:00,5256.568650762245,17.675,4.0,87.0,9.85,1004.85,
2013-03-09 21:30:00,2170.276270605419,16.85,4.0,87.0,10.3,1004.9,
2013-03-09 21:45:00,1662.5912297609057,16.025,4.0,87.0,10.75,1004.95,
2013-03-09 22:00:00,1545.8225292878649,15.2,4.0,87.0,11.2,1005.0,
